date,soybean_oil_usd_mt,maize_usd_mt,wheat_usd_mt,dap_fertiliser_usd_mt,mop_potash_usd_mt,wheat_usd_mt_mom_pct,wheat_usd_mt_yoy_pct,maize_usd_mt_mom_pct,maize_usd_mt_yoy_pct,soybean_oil_usd_mt_mom_pct,soybean_oil_usd_mt_yoy_pct,dap_fertiliser_usd_mt_mom_pct,dap_fertiliser_usd_mt_yoy_pct,mop_potash_usd_mt_mom_pct,mop_potash_usd_mt_yoy_pct,dap_to_wheat_ratio,fertiliser_composite_idx,wheat_mom_growth_pct,wheat_yoy_growth_pct,maize_mom_growth_pct,maize_yoy_growth_pct,soybean_oil_mom_growth_pct,soybean_oil_yoy_growth_pct
1960-01-31,204.0,45.0,59.89,0.0,28.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0,0,0,0,0,0
1960-02-29,201.0,44.0,60.99,0.0,28.5,1.837,0.0,-2.222,0.0,-1.471,0.0,0.0,0.0,0.0,0.0,0.0,28.5,1.8367006177993028,0,-2.2222222222222254,0,-1.4705882352941124,0
1960-03-31,201.0,45.0,61.73,0.0,28.5,1.213,0.0,2.273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.5,1.2133136579767,0,2.2727272727272707,0,0.0,0
1960-04-30,207.0,45.0,60.99,0.0,28.5,-1.199,0.0,0.0,0.0,2.985,0.0,0.0,0.0,0.0,0.0,0.0,28.5,-1.1987688320103551,0,0.0,0,2.9850746268656803,0
1960-05-31,209.0,48.0,57.69,0.0,28.5,-5.411,0.0,6.667,0.0,0.966,0.0,0.0,0.0,0.0,0.0,0.0,28.5,-5.4107230693556385,0,6.666666666666665,0,0.9661835748792313,0
1960-06-30,218.0,47.0,55.48,0.0,28.5,-3.831,0.0,-2.083,0.0,4.306,0.0,0.0,0.0,0.0,0.0,0.0,28.5,-3.8308198994626452,0,-2.083333333333337,0,4.306220095693769,0
1960-07-31,224.0,47.0,54.75,0.0,28.5,-1.316,0.0,0.0,0.0,2.752,0.0,0.0,0.0,0.0,0.0,0.0,28.5,-1.3157894736842035,0,0.0,0,2.752293577981657,0
1960-08-31,237.0,47.0,55.12,0.0,28.5,0.676,0.0,0.0,0.0,5.804,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.6757990867579888,0,0.0,0,5.803571428571419,0
1960-09-30,231.0,46.0,56.59,0.0,28.5,2.667,0.0,-2.128,0.0,-2.532,0.0,0.0,0.0,0.0,0.0,0.0,28.5,2.6669085631349843,0,-2.127659574468088,0,-2.5316455696202556,0
1960-10-31,237.0,42.0,56.95,0.0,28.5,0.636,0.0,-8.696,0.0,2.597,0.0,0.0,0.0,0.0,0.0,0.0,28.5,0.636154797667432,0,-8.695652173913048,0,2.5974025974025983,0
