year,maize_area_mha,maize_production_mt,rice_paddy_area_mha,rice_paddy_production_mt,wheat_area_mha,wheat_production_mt,wheat_production_mt_yoy_pct,rice_paddy_production_mt_yoy_pct,maize_production_mt_yoy_pct,total_staple_production_mt
1961,105559.547,205027.236,115365.128,215646.627,204209.45,222357.231,0.0,0.0,0.0,643031.094
1962,103496.472,204876.636,119452.412,226456.291,207554.518,250319.146,12.575,5.013,-0.073,681652.073
1963,108427.427,220228.115,120151.874,247119.204,206130.24,233339.473,-6.783,9.124,7.493,700686.792
1964,107925.069,215172.391,125056.092,262928.949,216539.177,268791.657,15.193,6.398,-2.296,746892.997
1965,106676.499,226544.121,124828.866,254059.657,216979.762,263645.963,-1.914,-3.373,5.285,744249.741
1966,111240.993,245599.1,125680.502,261181.246,215766.959,303785.46,15.225,2.803,8.411,810565.806
1967,112457.7,272548.408,127537.632,277386.339,219749.378,294295.876,-3.124,6.205,10.973,844230.623
1968,111677.783,255670.482,129264.962,288624.275,224875.053,326843.941,11.06,4.051,-6.193,871138.698
1969,111338.02,269505.982,131137.511,295584.346,217750.101,308640.283,-5.57,2.411,5.411,873730.611
1970,113076.119,265831.067,132873.177,316345.651,207979.029,310740.954,0.681,7.024,-1.364,892917.672
1971,118195.097,313622.542,134513.921,317712.363,213924.167,347525.581,11.838,0.432,17.978,978860.486
1972,114947.787,308826.205,132197.915,307289.867,213762.072,343001.429,-1.302,-3.28,-1.529,959117.501
1973,116943.548,318290.384,136572.548,334928.765,219374.913,369334.126,7.677,8.994,3.065,1022553.275
1974,119862.397,306427.262,136887.849,331970.539,222117.967,358825.442,-2.845,-0.883,-3.727,997223.243
1975,121483.561,341751.886,141729.254,356963.012,226617.018,355806.146,-0.841,7.529,11.528,1054521.044
1976,124209.053,352395.781,141860.154,347686.382,234418.092,419868.031,18.005,-2.599,3.115,1119950.194
1977,125249.255,371593.27,143663.749,369481.07,228577.847,382276.677,-8.953,6.268,5.448,1123351.017
1978,124729.562,393600.005,143503.572,385208.66,229635.073,443844.88,16.106,4.257,5.922,1222653.545
1979,123679.501,418622.905,141118.014,375251.671,228381.779,422999.301,-4.697,-2.585,6.357,1216873.877
1980,125776.294,396623.299,144412.301,396871.22,237251.982,440187.901,4.064,5.761,-5.255,1233682.42
1981,127894.969,446772.427,145047.166,410075.138,239165.634,449633.986,2.146,3.327,12.644,1306481.551
1982,124390.712,448932.182,141574.207,421948.954,238480.249,476768.609,6.035,2.896,0.483,1347649.745
1983,117848.132,347081.96,142829.951,448016.205,230291.623,489555.281,2.682,6.178,-22.687,1284653.446
