date,soybean_oil_usd_mt,maize_usd_mt,wheat_usd_mt,dap_fertiliser_usd_mt,mop_potash_usd_mt,wheat_usd_mt_mom_pct,wheat_usd_mt_yoy_pct,maize_usd_mt_mom_pct,maize_usd_mt_yoy_pct,soybean_oil_usd_mt_mom_pct,soybean_oil_usd_mt_yoy_pct,dap_fertiliser_usd_mt_mom_pct,dap_fertiliser_usd_mt_yoy_pct,mop_potash_usd_mt_mom_pct,mop_potash_usd_mt_yoy_pct,dap_to_wheat_ratio,fertiliser_composite_idx,undernourishment_pct,food_production_index,cereal_yield_kg_ha,arable_land_pct,undernourishment_pct_yoy_chg,food_production_index_yoy_chg,cereal_yield_kg_ha_yoy_chg,ffpi_overall,ffpi_cereals,ffpi_overall_mom_pct,ffpi_cereals_yoy_pct,ffpi_above_baseline,ffpi_crisis_flag,dap_to_wheat_elevated,ffpi_volatility_12m,cereals_affordability_idx,supply_stress_flag,food_shock_score,month,year
31-01-1990,417.0,105.6,167.92,138.5,98.5,2.011,-3.383,-3.27,-10.66,-2.797,-1.418,0.727,-23.481,0.0,7.65,0.825,118.5,0,22.80516757,2754.995666,10.65125343,0,-2.368,154.588,62.67,68.76,0,0,0,0,0,0,145.43,0,0,1,1990
28-02-1990,428.0,106.07,160.94,139.75,98.5,-4.157,-6.408,0.445,-9.666,2.638,3.883,0.903,-21.709,0.0,-2.956,0.868,119.12,0,22.80516757,2754.995666,10.65125343,0,-2.368,154.588,62.14,67.29,-0.846,0,0,0,0,0,148.61,0,0,2,1990
31-03-1990,442.0,109.7,156.53,146.0,97.375,-2.74,-12.165,3.422,-7.332,3.271,1.144,4.472,-17.28,-1.142,-3.109,0.933,121.69,0,22.80516757,2754.995666,10.65125343,0,-2.368,154.588,62.73,67.33,0.949,0,0,0,0,0,148.52,0,0,3,1990
30-04-1990,440.0,118.82,159.47,155.2,93.2,1.878,-8.629,8.314,2.661,-0.452,0.0,6.301,-7.343,-4.288,-5.381,0.973,124.2,0,22.80516757,2754.995666,10.65125343,0,-2.368,154.588,64.85,70.62,3.38,0,0,0,0,0,141.6,0,0,4,1990
31-05-1990,449.0,121.04,149.18,149.125,93.5,-6.453,-15.416,1.868,2.89,2.045,-2.391,-3.914,-2.213,0.322,-5.076,1.0,121.31,0,22.80516757,2754.995666,10.65125343,0,-2.368,154.588,64.07,68.91,-1.203,0,0,0,0,0,145.12,0,0,5,1990
30-06-1990,435.0,120.86,135.58,152.75,93.5,-9.117,-19.609,-0.149,6.965,-3.118,-6.25,2.431,7.193,0.0,-5.076,1.127,123.12,0,22.80516757,2754.995666,10.65125343,0,-2.368,154.588,61.4,65.75,-4.167,0,0,0,0,0,152.09,0,0,6,1990
31-07-1990,437.0,114.91,124.93,160.7,93.5,-7.855,-25.111,-4.923,5.713,0.46,-2.237,5.205,16.873,0.0,-5.076,1.286,127.1,0,22.80516757,2754.995666,10.65125343,0,-2.368,154.588,58.72,61.6,-4.365,0,0,0,0,0,162.34,0,0,7,1990
31-08-1990,460.0,110.05,116.84,160.5,93.5,-6.476,-28.86,-4.229,9.047,5.263,13.861,-0.124,11.458,0.0,-5.076,1.374,127.0,0,22.80516757,2754.995666,10.65125343,0,-2.368,154.588,57.48,58.36,-2.112,0,0,0,0,0,171.35,0,0,8,1990
30-09-1990,461.0,101.52,114.27,165.875,93.5,-2.2,-30.114,-7.751,-1.79,0.217,12.439,3.349,6.33,0.0,-5.076,1.452,129.69,0,22.80516757,2754.995666,10.65125343,0,-2.368,154.588,55.49,55.32,-3.462,0,0,0,0,0,180.77,0,0,9,1990
31-10-1990,468.0,100.34,114.64,165.7,93.5,0.324,-30.357,-1.162,-6.469,1.518,11.695,-0.106,11.959,0.0,-5.076,1.445,129.6,0,22.80516757,2754.995666,10.65125343,0,-2.368,154.588,55.6,55.06,0.198,0,0,0,0,0,181.62,0,0,10,1990
30-11-1990,455.0,100.39,112.8,163.375,93.5,-1.605,-31.013,0.05,-7.458,-2.778,5.081,-1.403,15.053,0.0,-5.076,1.448,128.44,0,22.80516757,2754.995666,10.65125343,0,-2.368,154.588,54.81,54.66,-1.421,0,0,0,0,0,182.95,0,0,11,1990
31-12-1990,476.0,102.01,113.17,158.625,93.5,0.328,-31.25,1.614,-6.559,4.615,10.956,-2.907,15.364,0.0,-5.076,1.402,126.06,0,22.61964616,2870.949132,10.65953276,0,-0.186,115.953,56.02,55.2,2.208,0,0,0,0,0,181.16,0,0,12,1990
31-01-1991,455.0,105.67,111.33,157.375,93.5,-1.626,-33.701,3.588,0.066,-4.412,9.113,-0.788,13.628,0.0,-5.076,1.414,125.44,0,22.61964616,2870.949132,10.65953276,0,-0.186,115.953,55.6,55.84,-0.75,-18.79,0,0,0,2.406,179.08,0,0,1,1991
28-02-1991,445.0,106.1,113.91,160.625,95.625,2.317,-29.222,0.407,0.028,-2.198,3.972,2.065,14.937,2.273,-2.919,1.41,128.12,0,22.61964616,2870.949132,10.65953276,0,-0.186,115.953,55.67,56.55,0.126,-15.961,0,0,0,2.426,176.83,0,0,2,1991
31-03-1991,453.0,109.54,119.42,163.625,95.625,4.837,-23.708,3.242,-0.146,1.798,2.489,1.868,12.072,0.0,-1.797,1.37,129.62,0,22.61964616,2870.949132,10.65953276,0,-0.186,115.953,57.49,58.8,3.269,-12.669,0,0,0,2.666,170.07,0,0,3,1991
